,Population,div100
Afghanistan,38928346.0,389.28
Albania,2877797.0,28.78
Algeria,43851044.0,438.51
Andorra,77265.0,0.77
Angola,32866272.0,328.66
Anguilla,15003.0,0.15
Antigua and Barbuda,97929.0,0.98
Argentina,45195774.0,451.96
Armenia,2963243.0,29.63
Aruba,106766.0,1.07
Australia,25499884.0,255.0
Austria,9006398.0,90.06
Azerbaijan,10139177.0,101.39
Bahamas,393244.0,3.93
Bahrain,1701575.0,17.02
Bangladesh,164689383.0,1646.89
Barbados,287375.0,2.87
Belarus,9449323.0,94.49
Belgium,11589623.0,115.9
Belize,397628.0,3.98
Benin,12123200.0,121.23
Bermuda,62278.0,0.62
Bhutan,771608.0,7.72
Bolivia,11673021.0,116.73
Bosnia and Herzegovina,3280819.0,32.81
Botswana,2351627.0,23.52
Brazil,212559417.0,2125.59
British Virgin Islands,30231.0,0.3
Brunei,437479.0,4.37
Bulgaria,6948445.0,69.48
Burkina Faso,20903273.0,209.03
Burma,54409800.0,544.1
Burundi,11890784.0,118.91
Cabo Verde,555987.0,5.56
Cambodia,16718965.0,167.19
Cameroon,26545863.0,265.46
Canada,37742154.0,377.42
Cayman Islands,65722.0,0.66
Central African Republic,4829767.0,48.3
Chad,16425864.0,164.26
Channel Islands,173863.0,1.74
Chile,19116201.0,191.16
China,1439323776.0,14393.24
Colombia,50882891.0,508.83
Comoros,869601.0,8.7
Congo (Brazzaville),5518087.0,55.18
Congo (Kinshasa),89561403.0,895.61
Costa Rica,5094118.0,50.94
Cote d'Ivoire,26378274.0,263.78
Croatia,4105267.0,41.05
Cuba,11326616.0,113.27
Curacao,164093.0,1.64
Cyprus,1207359.0,12.07
Czechia,10708981.0,107.09
Denmark,5792202.0,57.92
Djibouti,988000.0,9.88
Dominica,71986.0,0.72
Dominican Republic,10847910.0,108.48
Ecuador,17643054.0,176.43
Egypt,102334404.0,1023.34
El Salvador,6486205.0,64.86
Equatorial Guinea,1402985.0,14.03
Eritrea,3546421.0,35.46
Estonia,1326535.0,13.27
Eswatini,1160164.0,11.6
Ethiopia,114963588.0,1149.64
Falkland Islands (Malvinas),3480.0,0.03
Faroe Islands,48863.0,0.49
Fiji,896445.0,8.96
Finland,5540720.0,55.41
France,65273511.0,652.74
French Guiana,298682.0,2.99
French Polynesia,280908.0,2.81
Gabon,2225734.0,22.26
Gambia,2416668.0,24.17
Georgia,3989167.0,39.89
Germany,83783942.0,837.84
Ghana,31072940.0,310.73
Gibraltar,33691.0,0.34
Greece,10423054.0,104.23
Greenland,56770.0,0.57
Grenada,112523.0,1.13
Guadeloupe,400124.0,4.0
Guatemala,17915568.0,179.16
Guinea,13132795.0,131.33
Guinea-Bissau,1968001.0,19.68
Guyana,786552.0,7.87
Haiti,11402528.0,114.03
Holy See,801.0,0.01
Honduras,9904607.0,99.05
Hungary,9660351.0,96.6
Iceland,341243.0,3.41
India,1380004385.0,13800.04
Indonesia,273523615.0,2735.24
Iran,83992949.0,839.93
Iraq,40222493.0,402.22
Ireland,4937786.0,49.38
Isle of Man,85033.0,0.85
Israel,8655535.0,86.56
Italy,60461826.0,604.62
Jamaica,2961167.0,29.61
Japan,126476461.0,1264.76
Jordan,10203134.0,102.03
Kazakhstan,18776707.0,187.77
Kenya,53771296.0,537.71
"Korea, South",51269185.0,512.69
Kosovo,1794248.0,17.94
Kuwait,4270571.0,42.71
Kyrgyzstan,6524195.0,65.24
Laos,7275560.0,72.76
Latvia,1886198.0,18.86
Lebanon,6825445.0,68.25
Lesotho,2142249.0,21.42
Liberia,5057681.0,50.58
Libya,6871292.0,68.71
Liechtenstein,38128.0,0.38
Lithuania,2722289.0,27.22
Luxembourg,625978.0,6.26
Madagascar,27691018.0,276.91
Malawi,19129952.0,191.3
Malaysia,32365999.0,323.66
Maldives,540544.0,5.41
Mali,20250833.0,202.51
Malta,441543.0,4.42
Marshall Islands,59190.0,0.59
Martinique,375265.0,3.75
Mauritania,4649658.0,46.5
Mauritius,1271768.0,12.72
Mayotte,272815.0,2.73
Mexico,128932753.0,1289.33
Micronesia,548914.0,5.49
Moldova,4033963.0,40.34
Monaco,39242.0,0.39
Mongolia,3278290.0,32.78
Montenegro,628066.0,6.28
Montserrat,4992.0,0.05
Morocco,36910560.0,369.11
Mozambique,31255435.0,312.55
Namibia,2540905.0,25.41
Nepal,29136808.0,291.37
Netherlands,17134872.0,171.35
New Caledonia,285498.0,2.85
New Zealand,4822233.0,48.22
Nicaragua,6624554.0,66.25
Niger,24206644.0,242.07
Nigeria,206139589.0,2061.4
North Macedonia,2083374.0,20.83
Norway,5421241.0,54.21
Oman,5106626.0,51.07
Pakistan,220892340.0,2208.92
Panama,4314767.0,43.15
Papua New Guinea,8947024.0,89.47
Paraguay,7132538.0,71.33
Peru,32971854.0,329.72
Philippines,109581078.0,1095.81
Poland,37846611.0,378.47
Portugal,10196709.0,101.97
Qatar,2881053.0,28.81
Reunion,895312.0,8.95
Romania,19237691.0,192.38
Russia,145934462.0,1459.34
Rwanda,12952218.0,129.52
Saint Barthelemy,9877.0,0.1
Saint Kitts and Nevis,53199.0,0.53
Saint Lucia,183627.0,1.84
Saint Pierre and Miquelon,5794.0,0.06
Saint Vincent and the Grenadines,110940.0,1.11
Samoa,198414.0,1.98
San Marino,33931.0,0.34
Sao Tome and Principe,219159.0,2.19
Saudi Arabia,34813871.0,348.14
Senegal,16743927.0,167.44
Serbia,8737371.0,87.37
Seychelles,98347.0,0.98
Sierra Leone,7976983.0,79.77
Singapore,5850342.0,58.5
Sint Maarten,42876.0,0.43
Slovakia,5459642.0,54.6
Slovenia,2078938.0,20.79
Solomon Islands,686884.0,6.87
Somalia,15893222.0,158.93
South Africa,59308690.0,593.09
South Sudan,11193725.0,111.94
Spain,46754778.0,467.55
Sri Lanka,21413249.0,214.13
St Martin,38666.0,0.39
Sudan,43849260.0,438.49
Suriname,586632.0,5.87
Sweden,10099265.0,100.99
Switzerland,8654622.0,86.55
Syria,17500658.0,175.01
Taiwan*,23816775.0,238.17
Tajikistan,9537645.0,95.38
Tanzania,59734218.0,597.34
Thailand,69799978.0,698.0
Timor-Leste,1318445.0,13.18
Togo,8278724.0,82.79
Trinidad and Tobago,1399488.0,13.99
Tunisia,11818619.0,118.19
Turkey,84339067.0,843.39
Turks and Caicos Islands,38717.0,0.39
Uganda,45741007.0,457.41
Ukraine,43733762.0,437.34
United Arab Emirates,9890402.0,98.9
United Kingdom,67886011.0,678.86
United States,331002651.0,3310.03
Uruguay,3473730.0,34.74
Uzbekistan,33469203.0,334.69
Vanuatu,307145.0,3.07
Venezuela,28435940.0,284.36
Vietnam,97338579.0,973.39
Wallis and Futuna,11239.0,0.11
West Bank and Gaza,5101414.0,51.01
Yemen,29825964.0,298.26
Zambia,18383955.0,183.84
Zimbabwe,14862924.0,148.63
